,consumer,period,eps_type1_not_buy,eps_type1_buy,eps_unif,eps_price_state_unif,state_id,action,price_id,mileage_id,price,mileage
0,1,41,4.491715318014649,2.5461533420797293,0.615909758978272,0.08323585368076913,90,0,6,15,2.5,0.07
1,1,42,1.2374232079485683,2.0962562608083855,0.0376918161284614,0.3053067566011045,94,0,4,16,2.3,0.075
2,1,43,-0.24010390453919012,-0.028965549516260392,0.3493113103351385,0.6341248465642177,91,0,1,16,2.0,0.075
3,1,44,1.4412364417803878,1.2181830665949658,0.5332054427858306,0.7293748112115185,95,0,5,16,2.4,0.075
4,1,45,-0.8201473656890297,1.3970167691443067,0.7311198091579597,0.8113064649699003,98,1,2,17,2.1,0.08
5,1,46,0.21915185424812536,1.8684267733170674,0.561812665184731,0.3979435839236112,10,0,4,2,2.3,0.005
6,1,47,2.3449157777310745,1.2794441038011675,0.1438651516909728,0.2953917826141632,14,0,2,3,2.1,0.01
7,1,48,-0.20333978001863734,0.40676368295106646,0.7719810548868727,0.8671583781072904,15,0,3,3,2.2,0.01
8,1,49,-0.2195974132847073,0.3851966623135186,0.7163234122212807,0.9929011707978498,22,0,4,4,2.3,0.015
9,1,50,-0.712950330969048,-0.4301295799843004,0.8319332757659825,0.7132404845436086,28,0,4,5,2.3,0.02
10,2,41,-0.772436308091983,0.1652900445142052,0.8743778969991082,0.6661758231566539,66,0,6,11,2.5,0.05
11,2,42,2.9597656690448284,5.801414671015255,0.4647641967257149,0.13543679001244746,72,0,6,12,2.5,0.055
12,2,43,0.22476614924358557,0.9435029767870097,0.09434806158557851,0.31103588450532715,72,0,6,12,2.5,0.055
13,2,44,0.60237900175037,-0.4493780502241115,0.7764600254796269,0.304260735222712,69,0,3,12,2.2,0.055
14,2,45,0.10964427799872437,-0.21419607350242628,0.7397142832388834,0.5017339681696119,76,0,4,13,2.3,0.06
15,2,46,-0.3643523099464652,0.4482300478999536,0.905782652725408,0.8656648950407241,82,0,4,14,2.3,0.065
16,2,47,2.2865884708272306,-0.565496370425197,0.20791174854080263,0.6548818776621017,91,0,1,16,2.0,0.075
17,2,48,0.5875547282303241,0.26413654200118364,0.6755475663141065,0.3702479875345883,94,0,4,16,2.3,0.075
18,2,49,-1.7670106117646818,2.1533347927233035,0.8268114568468029,0.015416580904384136,100,1,4,17,2.3,0.08
19,2,50,0.7284605948950735,0.5327914942162684,0.2614013891113961,0.12353336036123319,11,0,5,2,2.4,0.005
20,3,41,0.5334888343361185,0.8727109986594735,0.8255108006491388,0.18564224531457874,124,0,4,21,2.3,0.1
